name	full_name	id	description	language	size	watchers	forks	stargazers_count
irmin	mirage/irmin	9595928	Irmin is a distributed database that follows the same design principles as Git	OCaml	7036	604	50	604
Graph	CosmicMind/Graph	30655979	A semantic database for iOS in Swift.	Swift	4547	597	45	597
KeeFarce	denandz/KeeFarce	45019001	Extracts passwords from a KeePass 2.x database, directly from memory.	C++	996	596	103	596
speedment	speedment/speedment	29480568	Wrap your database into Java 8	Java	9457	590	85	590
acts_as_tenant	ErwinM/acts_as_tenant	2175854	Easy multi-tenancy for Rails in a shared database setup	Ruby	225	585	112	585
security-advisories	FriendsOfPHP/security-advisories	7798948	A database of PHP security advisories	PHP	440	582	79	582
MaxScale	mariadb-corporation/MaxScale	15231881	An intelligent database proxy.	C	86470	580	155	580
bulbs	espeed/bulbs	2053705	A Python persistence framework for graph databases like Neo4j, OrientDB and Titan.	Python	1319	578	86	578
FastAPI	thestorefront/FastAPI	22079149	Easily create robust, standardized API endpoints using lightning-fast database queries	Ruby	182	575	28	575
tedious	tediousjs/tedious	1719690	Node TDS module for connecting to SQL Server databases.	JavaScript	2126	571	152	571
reborn	reborndb/reborn	34118374	Distributed database fully compatible with redis protocol	Go	6185	567	95	567
LittleD	graemedouglas/LittleD	14753974	A relational database for embedded devices and sensors nodes	C	246	567	24	567
standalone-migrations	thuss/standalone-migrations	95560	A gem to use Rails Database Migrations in non Rails projects	Ruby	465	564	96	564
dbr	gocraft/dbr	19512853	Additions to Go's database/sql for super fast performance and convenience.	Go	213	564	48	564
geoip	cjheath/geoip	209379	The Ruby gem for querying Maxmind.com's GeoIP database, which returns the geographic location of a server given its IP address	Ruby	294	561	61	561
reactspeedcoding	manavsehgal/reactspeedcoding	55911717	:rocket: Learn React with 30 reusable components, 15 chapters, and 3 single page apps. Fast start project with JavaScript ES6. React Hot Loading. React Router. Redux. PostCSS, FlexBox styling. Firebase database. Webpack packaging. Enzyme, Mocha, Chai BDD testing. ESLint and StyleLint. Browsersync.	JavaScript	5901	557	33	557
ezSQL	ezSQL/ezSQL	3337723	PHP class to make interacting with a database ridiculusly easy	HTML	613	555	238	555
doobie	tpolecat/doobie	14679065	principled database access for scala	Scala	2198	553	71	553
OmniDB	OmniDB/OmniDB	56064194	Web tool for database management and conversion	JavaScript	30021	549	30	549
lovli.js	flipace/lovli.js	56639803	A boilerplate for developing react+redux applications with rethinkdb/horizon as realtime database and express for the server.	JavaScript	1696	539	35	539
uphold	forward3d/uphold	50673334	A tool for programmatically verifying database backups	Ruby	434	534	14	534
world.db	openmundi/world.db	6540895	Free open public domain world database 'n' schema for use in any (programming) language (e.g. uses plain text datasets)	null	1893	532	49	532
Flask-Migrate	miguelgrinberg/Flask-Migrate	12686139	SQLAlchemy database migrations for Flask applications using Alembic	Python	140	527	77	527
ForerunnerDB	Irrelon/ForerunnerDB	16614962	A JavaScript database with mongo-like query language, data-binding support, runs in browsers and hybrid mobile apps as a client-side DB or on the server via Node.js!	JavaScript	73010	527	45	527
fluent	vapor/fluent	50543206	Swift models, relationships, and querying for NoSQL and SQL databases.	Swift	1086	526	43	526
GRDB.swift	groue/GRDB.swift	38304949	A Swift application toolkit for SQLite databases, with WAL mode support	Swift	13388	522	52	522
memdb	rain1017/memdb	30956325	Distributed Transactional In-Memory Database (全球首个支持分布式事务的MongoDB)	JavaScript	1206	512	163	512
adminMongo	mrvautin/adminMongo	49763476	adminMongo is a Web based user interface (GUI) to handle all your MongoDB connections/databases needs.	JavaScript	2807	511	151	511
Shaarli	sebsauvage/Shaarli	4040041	The personal, minimalist, super-fast, no-database delicious clone.	PHP	3313	509	171	509
god	zond/god	4865566	A Go database	Go	9445	506	37	506
rails_indexes	eladmeidar/rails_indexes	303531	A rake task to track down missing database indexes. does not assume that all foreign keys end with the convention of _id.	Ruby	191	504	68	504
elephantdb	nathanmarz/elephantdb	1372117	Distributed database specialized in exporting key/value data from Hadoop	Java	3037	503	42	503
psycopg2	psycopg/psycopg2	7730829	PostgreSQL database adapter for the Python programming language	C	7417	501	129	501
mongodb-csharp	samus/mongodb-csharp	267286	A driver written in c# to connect to the MongoDB document oriented database.	C#	5907	500	225	500
query-monitor	johnbillion/query-monitor	3879305	A WordPress plugin for monitoring database queries, hooks, conditionals, HTTP requests, query vars, environment, redirects, and more.	PHP	1757	497	58	497
sensei	linkedin/sensei	533032	distributed realtime searchable database	Java	66117	496	156	496
dj-database-url	kennethreitz/dj-database-url	4185033	Use Database URLs in your Django Application.	Python	86	492	88	492
sinatra-authentication	maxjustus/sinatra-authentication	85300	A sinatra extension wrapped in a gem that implements authentication/permissions with users stored in the database. Now with optional support for facebook connect	Ruby	636	491	108	491
qb	aacanakin/qb	49949525	The database toolkit for go	Go	482	487	18	487
linq2db	linq2db/linq2db	1916228	Linq to database provider.	C#	238273	480	138	480
db	GroundMeteor/db	11569488	GroundDB is a thin layer providing Meteor offline database and methods	JavaScript	255	480	63	480
nfldb	BurntSushi/nfldb	11647678	A library to manage and update NFL data in a relational database.	Python	584	480	126	480
database_rewinder	amatsuda/database_rewinder	12803348	minimalist's tiny and ultra-fast database cleaner	Ruby	124	475	49	475
localStorageDB	knadh/localStorageDB	2418932	A simple database layer for localStorage and sessionStorage for creating structured data in the form of databases and tables	JavaScript	125	462	90	462
squeryl	squeryl/squeryl	495133	A Scala DSL for talking with databases with minimum verbosity and maximum type safety	Scala	15627	462	119	462
Windows-Exploit-Suggester	GDSSecurity/Windows-Exploit-Suggester	21613236	This tool compares a targets patch levels against the Microsoft vulnerability database in order to detect potential missing patches on the target. It also notifies the user if there are public exploits and Metasploit modules available for the missing bulletins.	Python	164	462	149	462
polo	IFTTT/polo	39863646	Polo travels through your database and creates sample snapshots so you can work with real world data in development.	Ruby	88	461	24	461
global_phone	sstephenson/global_phone	10342875	Parse, validate, and format phone numbers in Ruby using Google's libphonenumber database	Ruby	460	459	82	459
ruckusing-migrations	ruckus/ruckusing-migrations	1046466	Database migrations for PHP ala ActiveRecord Migrations with support for MySQL, Postgres, SQLite	PHP	997	455	89	455
indieteq-php-my-sql-pdo-database-class	indieteq/indieteq-php-my-sql-pdo-database-class	6267062	A database class for PHP MySQL which utilizes PDO.	PHP	107	452	262	452
h2database	h2database/h2database	33745913	H2 is an embeddable RDBMS written in Java.	Java	56599	449	180	449
heroic	spotify/heroic	36483902	The Heroic Time Series Database	Java	5585	447	35	447
tera	baidu/tera	18129915	A distributed, elastic, structured database.	C++	17689	442	156	442
curiodb	stephenmcd/curiodb	34593732	Distributed and Persistent NoSQL Database	Scala	1213	439	33	439
