name	full_name	id	description	language	size	watchers	forks	stargazers_count
gfate	Mattias1/gfate	21817157	A gui for Chiel92's fate text editor	Python	173	2	1	2
sedit	incessantmeraki/sedit	48983691	Minimal Text Editor created using GTK and C	C	954	2	0	2
se	QuantumNemesis/se	26905228	shell editor (experimental text editor written in bash)	Shell	204	2	0	2
ace_editor	rocka0/ace_editor	41785353	A working version of the ace text editor	JavaScript	3684	2	0	2
bootstrap3-plus	jonayad/bootstrap3-plus	55031950	Bootstrap 3 Snippets for your Atom text editor	CoffeeScript	174	2	1	2
react-rte-filepicker	BMGTech/react-rte-filepicker	61319758	Very simple rich text editor for react	JavaScript	34	2	0	2
editor	rubenwardy/editor	66742436	Minetest Mod: Flexible formspec based text editor	Lua	30	2	0	2
pluma-plugins	jsenin/pluma-plugins	10411975	Pluma plugins for MATE desktop text editor. 	Python	268	2	0	2
googiespell	cbosco/googiespell	869444	Googiespell with HTML and rich text editor additions	JavaScript	128	2	1	2
micro	sandeep-datta/micro	18567093	A text editor inspired by nano and pico.	Python	116	2	0	2
atom-haskell-grammar	christiantschoepe/atom-haskell-grammar	29067227	Haskell language support in the Atom text editor.	CoffeeScript	290	2	1	2
js-richtext	joshmarinacci/js-richtext	26739831	Rich Text editor for HTML Canvas and others.	JavaScript	176	2	0	2
automatic-octo-computing-machine	eriklovlie/automatic-octo-computing-machine	51029383	OCaml linter for the Atom text editor.	CoffeeScript	28	2	1	2
zile	Etenil/zile	47848	zile is an emacs-like text editor	null	56	2	0	2
idiomatic-dark-syntax	blaqbern/idiomatic-dark-syntax	43584775	A minimal syntax theme for Atom text editor	CSS	1104	2	1	2
chocula-syntax	SeanJM/chocula-syntax	40413955	A Syntax theme for the Atom text editor	CSS	11804	2	0	2
type	kurisubrooks/type	63426796	:book: Simple Text Editor – made with Electron	JavaScript	735	2	0	2
EditorialWorkflows	jobbogamer/EditorialWorkflows	16697020	Workflows for Editorial, the text editor for iPad.	null	140	2	0	2
woot	mkdynamic/woot	62530995	Collaborative text editor using the WOOT algorithm	JavaScript	18	2	0	2
finpad	drcouzelis/finpad	37283592	A simple text editor for SailfishOS (TinyEdit fork)	QML	148	2	0	2
fog	jacksondc/fog	24428209	A text editor that blurs your writing.	JavaScript	2109	2	1	2
git_edit	vain0/git_edit	58997274	A text editor for Git on Windows	C#	883	2	0	2
scum	CCareaga/scum	67505798	A multi-tab, terminal-based text editor	Python	140	2	0	2
emacs	id774-2/emacs	914403	GNU Emacs is an extensible, customizable text editor—and more.	Emacs Lisp	55468	2	0	2
bodybuilder	jmkenz/bodybuilder	14871341	BodyBuilder - A Rich Text Editor That's Tired of Messing Around	JavaScript	794	2	1	2
