,Dataset,n_clusters,NUM_TOPICS,max_df,min_df,precision,recall,f-score
135,showcase_noStem2,30.0,30.0,0.8,0.2,65.0,92.0,77.0
136,showcase_noStem2,30.0,35.0,0.8,0.2,63.0,92.0,75.0
137,showcase_noStem2,30.0,40.0,0.8,0.2,63.0,91.0,75.0
138,showcase_noStem2,30.0,45.0,0.8,0.2,64.0,88.0,74.0
139,showcase_noStem2,30.0,50.0,0.8,0.2,63.0,83.0,72.0
140,showcase_noStem2,30.0,55.0,0.8,0.2,62.0,80.0,70.0
141,showcase_noStem2,30.0,60.0,0.8,0.2,62.0,80.0,70.0
142,showcase_noStem2,30.0,65.0,0.8,0.2,65.0,83.0,73.0
143,showcase_noStem2,30.0,70.0,0.8,0.2,56.0,78.0,65.0
144,showcase_noStem2,30.0,75.0,0.8,0.2,67.0,83.0,74.0
145,showcase_noStem2,30.0,80.0,0.8,0.2,63.0,81.0,71.0
146,showcase_noStem2,30.0,85.0,0.8,0.2,59.0,76.0,66.0
147,showcase_noStem2,30.0,90.0,0.8,0.2,61.0,81.0,69.0
148,showcase_noStem2,30.0,95.0,0.8,0.2,64.0,84.0,73.0
149,showcase_noStem2,30.0,100.0,0.8,0.2,66.0,84.0,74.0
150,showcase_noStem2,30.0,105.0,0.8,0.2,67.0,83.0,74.0
151,showcase_noStem2,30.0,110.0,0.8,0.2,58.0,81.0,68.0
152,showcase_noStem2,30.0,115.0,0.8,0.2,66.0,82.0,73.0
153,showcase_noStem2,30.0,120.0,0.8,0.2,61.0,80.0,69.0
154,showcase_noStem2,30.0,125.0,0.8,0.2,65.0,82.0,72.0
155,showcase_noStem2,30.0,130.0,0.8,0.2,68.0,83.0,74.0
156,showcase_noStem2,30.0,135.0,0.8,0.2,70.0,89.0,79.0
157,showcase_noStem2,30.0,140.0,0.8,0.2,68.0,84.0,75.0
158,showcase_noStem2,30.0,145.0,0.8,0.2,66.0,86.0,75.0
159,showcase_noStem2,35.0,35.0,0.8,0.2,62.0,91.0,74.0
160,showcase_noStem2,35.0,40.0,0.8,0.2,67.0,95.0,79.0
161,showcase_noStem2,35.0,45.0,0.8,0.2,68.0,90.0,78.0
162,showcase_noStem2,35.0,50.0,0.8,0.2,63.0,83.0,72.0
163,showcase_noStem2,35.0,55.0,0.8,0.2,65.0,83.0,73.0
164,showcase_noStem2,35.0,60.0,0.8,0.2,63.0,82.0,71.0
165,showcase_noStem2,35.0,65.0,0.8,0.2,67.0,83.0,74.0
166,showcase_noStem2,35.0,70.0,0.8,0.2,61.0,82.0,70.0
167,showcase_noStem2,35.0,75.0,0.8,0.2,65.0,82.0,72.0
168,showcase_noStem2,35.0,80.0,0.8,0.2,66.0,85.0,75.0
169,showcase_noStem2,35.0,85.0,0.8,0.2,59.0,76.0,66.0
170,showcase_noStem2,35.0,90.0,0.8,0.2,63.0,83.0,72.0
171,showcase_noStem2,35.0,95.0,0.8,0.2,63.0,83.0,72.0
172,showcase_noStem2,35.0,100.0,0.8,0.2,66.0,84.0,74.0
173,showcase_noStem2,35.0,105.0,0.8,0.2,65.0,81.0,72.0
174,showcase_noStem2,35.0,110.0,0.8,0.2,60.0,82.0,69.0
175,showcase_noStem2,35.0,115.0,0.8,0.2,65.0,83.0,73.0
176,showcase_noStem2,35.0,120.0,0.8,0.2,66.0,82.0,73.0
177,showcase_noStem2,35.0,125.0,0.8,0.2,66.0,82.0,73.0
178,showcase_noStem2,35.0,130.0,0.8,0.2,67.0,83.0,74.0
179,showcase_noStem2,35.0,135.0,0.8,0.2,70.0,89.0,78.0
180,showcase_noStem2,35.0,140.0,0.8,0.2,69.0,85.0,76.0
181,showcase_noStem2,35.0,145.0,0.8,0.2,65.0,84.0,73.0
182,showcase_noStem2,40.0,40.0,0.8,0.2,67.0,95.0,79.0
183,showcase_noStem2,40.0,45.0,0.8,0.2,70.0,92.0,80.0
184,showcase_noStem2,40.0,50.0,0.8,0.2,65.0,85.0,74.0
185,showcase_noStem2,40.0,55.0,0.8,0.2,66.0,86.0,75.0
186,showcase_noStem2,40.0,60.0,0.8,0.2,66.0,83.0,74.0
187,showcase_noStem2,40.0,65.0,0.8,0.2,69.0,85.0,76.0
